pos=805752e0 len=664 sym=VFiPFFILE_Cursor_ReadHeadSector
pos=80575580 len=468 sym=VFiPFFILE_Cursor_ReadBodySectors
pos=80575760 len=636 sym=VFiPFFILE_Cursor_ReadTailSector
pos=805759e0 len=324 sym=VFiPFFILE_Cursor_Read
pos=80575b30 len=604 sym=VFiPFFILE_Cursor_WriteHeadSector
pos=80575d90 len=732 sym=VFiPFFILE_Cursor_WriteTailSector
pos=80576070 len=620 sym=VFiPFFILE_Cursor_Write_Overwrite
pos=805762e0 len=928 sym=VFiPFFILE_Cursor_Write
pos=80576680 len=456 sym=VFiPFFILE_Cursor_MoveToClusterEnd
pos=80576850 len=468 sym=VFiPFFILE_GetSFD
pos=80576fb0 len=416 sym=VFiPFFILE_p_fread
pos=80577150 len=1016 sym=VFiPFFILE_p_fwrite
pos=80577550 len=292 sym=VFiPFFILE_p_finfo
pos=80577680 len=152 sym=VFiPFFILE_GetOpenedFile
pos=80577720 len=164 sym=VFiPFFILE_FinalizeAllFiles
pos=805777d0 len=452 sym=VFiPFFILE_remove
pos=805779a0 len=328 sym=VFiPFFILE_fopen
pos=80577af0 len=896 sym=VFiPFFILE_fclose
pos=80577e70 len=572 sym=VFiPFFILE_fread
pos=805780b0 len=672 sym=VFiPFFILE_fwrite
pos=80578350 len=908 sym=VFiPFFILE_fseek
pos=805786e0 len=584 sym=VFiPFFILE_finfo
pos=80578b10 len=692 sym=VFiPFPATH_GetNextCharOfPattern
pos=80578dd0 len=1196 sym=VFiPFPATH_DoMatchFileNameWithPattern
pos=80579280 len=852 sym=VFiPFPATH_MatchFileNameWithPattern
pos=80579610 len=16 sym=VFiPFPATH_InitTokenOfPath
pos=80579620 len=900 sym=VFiPFPATH_GetNextTokenOfPath
pos=805799c0 len=152 sym=VFiPFPATH_GetVolumeFromPath
pos=80579a60 len=396 sym=VFiPFPATH_putShortName
pos=80579bf0 len=604 sym=VFiPFPATH_getShortName
pos=80579e50 len=432 sym=VFiPFPATH_getLongNameformShortName
pos=8057a000 len=108 sym=VFiPFPATH_GetLengthFromShortname
pos=8057a070 len=156 sym=VFiPFPATH_GetLengthFromUnicode
pos=8057a110 len=300 sym=VFiPFPATH_transformFromUnicodeToNormal
pos=8057a240 len=152 sym=VFiPFPATH_transformInUnicode
pos=8057a2e0 len=1912 sym=VFiPFPATH_parseShortName
